date,channel,room_nights,revenue_bdt,campaign_attributed
2024-10-01,direct,4,23425,false
2024-10-01,direct,2,11572,false
2024-10-01,direct,3,17691,false
2024-10-02,direct,4,25041,false
2024-10-02,direct,2,11657,false
2024-10-02,direct,4,24954,false
2024-10-02,booking_com,45,270000,false
2024-10-02,agoda,23,138000,false
2024-10-02,expedia,14,84000,false
2024-10-03,direct,4,22850,false
2024-10-03,direct,4,22901,false
2024-10-03,direct,4,24654,false
2024-10-04,direct,2,12352,false
2024-10-04,direct,4,23990,false
2024-10-04,direct,2,12578,false
2024-10-04,phone,2,11040,false
2024-10-04,booking_com,45,270000,false
2024-10-04,agoda,23,138000,false
2024-10-04,expedia,14,84000,false
2024-10-05,direct,4,23190,false
2024-10-05,direct,4,24265,false
2024-10-05,direct,2,11642,false
2024-10-06,direct,3,17461,false
2024-10-06,direct,3,17535,false
2024-10-06,direct,3,17651,false
2024-10-06,booking_com,45,270000,false
2024-10-06,agoda,23,138000,false
2024-10-06,expedia,14,84000,false
2024-10-07,direct,2,11991,false
2024-10-07,direct,2,12552,false
2024-10-07,direct,2,11727,false
2024-10-08,direct,3,17894,false
2024-10-08,direct,5,30568,false
2024-10-08,direct,3,17642,false
2024-10-08,phone,2,11040,false
2024-10-08,booking_com,45,270000,false
2024-10-08,agoda,23,138000,false
2024-10-08,expedia,14,84000,false
2024-10-09,direct,2,11495,false
2024-10-09,direct,3,18669,false
2024-10-09,direct,4,22908,false
2024-10-10,direct,2,12248,false
2024-10-10,direct,2,11657,false
2024-10-10,direct,4,24214,false
2024-10-10,booking_com,45,270000,false
2024-10-10,agoda,23,138000,false
2024-10-10,expedia,14,84000,false
2024-10-11,direct,3,18482,false
2024-10-11,direct,3,18096,false
2024-10-11,direct,2,12533,false
2024-10-12,direct,4,23865,false
2024-10-12,direct,3,18527,false
2024-10-12,direct,3,18845,false
2024-10-12,phone,2,11040,false
2024-10-12,booking_com,45,270000,false
2024-10-12,agoda,23,138000,false
2024-10-12,expedia,14,84000,false
2024-10-13,direct,2,12417,false
2024-10-13,direct,4,23490,false
2024-10-13,direct,4,23668,false
2024-10-14,direct,2,11769,false
2024-10-14,direct,3,18541,false
2024-10-14,direct,3,17551,false
2024-10-14,booking_com,45,270000,false
2024-10-14,agoda,23,138000,false
2024-10-14,expedia,14,84000,false
2024-10-15,direct,2,12585,false
2024-10-15,direct,3,18384,false
2024-10-15,direct,4,24184,false
2024-10-16,direct,4,24333,false
2024-10-16,direct,4,23226,false
2024-10-16,direct,2,12286,false
2024-10-16,phone,2,11040,false
2024-10-16,booking_com,45,270000,false
2024-10-16,agoda,23,138000,false
2024-10-16,expedia,14,84000,false
2024-10-17,direct,3,18065,false
2024-10-17,direct,3,17356,false
2024-10-17,direct,4,24469,false
2024-10-18,direct,3,17523,false
2024-10-18,direct,3,18552,false
2024-10-18,direct,2,11485,false
2024-10-18,booking_com,45,270000,false
2024-10-18,agoda,23,138000,false
2024-10-18,expedia,14,84000,false
2024-10-19,direct,3,17510,false
2024-10-19,direct,2,12288,false
2024-10-19,direct,3,17294,false
2024-10-20,direct,3,18343,false
2024-10-20,direct,2,12573,false
2024-10-20,direct,3,18790,false
2024-10-20,phone,2,11040,false
2024-10-20,booking_com,45,270000,false
2024-10-20,agoda,23,138000,false
2024-10-20,expedia,14,84000,false
2024-10-21,direct,2,11831,false
2024-10-21,direct,2,11920,false
2024-10-21,direct,3,17348,false
2024-10-22,direct,2,12315,false
2024-10-22,direct,3,17126,false
2024-10-22,direct,2,12048,false
2024-10-22,booking_com,45,270000,false
2024-10-22,agoda,23,138000,false
2024-10-22,expedia,14,84000,false
2024-10-23,direct,5,30552,false
2024-10-23,direct,4,23483,false
2024-10-23,direct,2,11982,false
2024-10-24,direct,4,24244,false
2024-10-24,direct,2,12066,false
2024-10-24,direct,3,18046,false
2024-10-24,phone,2,11040,false
2024-10-24,booking_com,45,270000,false
2024-10-24,agoda,23,138000,false
2024-10-24,expedia,14,84000,false
2024-10-25,direct,3,18854,false
2024-10-25,direct,4,24448,false
2024-10-25,direct,2,12443,false
2024-10-26,direct,4,24494,false
2024-10-26,direct,3,18072,false
2024-10-26,direct,3,17922,false
2024-10-26,booking_com,45,270000,false
2024-10-26,agoda,23,138000,false
2024-10-26,expedia,14,84000,false
2024-10-27,direct,3,18717,false
2024-10-27,direct,2,11485,false
2024-10-27,direct,4,23225,false
2024-10-28,direct,2,12426,false
2024-10-28,direct,2,12567,false
2024-10-28,direct,2,11795,false
2024-10-28,phone,2,11040,false
2024-10-28,booking_com,45,270000,false
2024-10-28,agoda,23,138000,false
2024-10-28,expedia,14,84000,false
2024-10-29,direct,4,23335,false
2024-10-29,direct,3,17559,false
2024-10-29,direct,4,23938,false
2024-10-30,direct,3,18172,false
2024-10-30,direct,3,18064,false
2024-10-30,direct,3,18075,false
2024-10-30,booking_com,45,270000,false
2024-10-30,agoda,23,138000,false
2024-10-30,expedia,14,84000,false
2024-10-31,direct,3,18466,false
2024-10-31,direct,3,17736,false
2024-10-31,direct,4,23027,false
2024-11-01,direct,3,17754,false
2024-11-01,direct,3,17990,false
2024-11-01,direct,4,24407,false
2024-11-01,direct,2,11957,false
2024-11-01,direct,1,6079,false
2024-11-01,direct,2,12227,false
2024-11-01,direct,2,12243,false
2024-11-02,direct,2,12250,false
2024-11-02,direct,3,18176,false
2024-11-02,direct,4,22916,false
2024-11-02,direct,3,18273,false
2024-11-02,direct,1,6170,false
2024-11-02,direct,2,12448,false
2024-11-02,direct,2,11939,false
2024-11-02,booking_com,88,528000,false
2024-11-02,agoda,45,270000,false
2024-11-02,expedia,27,162000,false
2024-11-03,direct,2,11988,false
2024-11-03,direct,2,11649,false
2024-11-03,direct,3,18312,false
2024-11-03,direct,2,12263,false
2024-11-03,direct,3,17594,false
2024-11-03,direct,3,18395,false
2024-11-03,direct,4,24803,false
2024-11-04,direct,4,24227,false
2024-11-04,direct,3,17234,false
2024-11-04,direct,2,12435,false
2024-11-04,direct,4,24228,false
2024-11-04,direct,3,18773,false
2024-11-04,direct,3,18599,false
2024-11-04,direct,4,24608,false
2024-11-04,phone,2,11040,false
2024-11-04,booking_com,88,528000,false
2024-11-04,agoda,45,270000,false
2024-11-04,expedia,27,162000,false
2024-11-05,direct,4,23842,false
2024-11-05,direct,2,11607,false
2024-11-05,direct,1,5849,false
2024-11-05,direct,2,11867,false
2024-11-05,direct,3,17131,false
2024-11-05,direct,3,17651,false
2024-11-05,direct,1,6273,false
2024-11-06,direct,4,24026,false
2024-11-06,direct,2,11474,false
2024-11-06,direct,2,12339,false
2024-11-06,direct,2,12550,false
2024-11-06,direct,2,12379,false
2024-11-06,direct,2,12296,false
2024-11-06,direct,2,12396,false
2024-11-06,booking_com,88,528000,false
2024-11-06,agoda,45,270000,false
2024-11-06,expedia,27,162000,false
2024-11-07,direct,3,18177,false
2024-11-07,direct,2,12242,false
2024-11-07,direct,3,17567,false
2024-11-07,direct,3,17107,false
2024-11-07,direct,3,18311,false
2024-11-07,direct,3,17879,false
2024-11-07,direct,2,12362,false
2024-11-08,direct,2,11685,false
2024-11-08,direct,2,12025,false
2024-11-08,direct,3,17756,false
2024-11-08,direct,3,17343,false
2024-11-08,direct,2,11954,false
2024-11-08,direct,2,12335,false
2024-11-08,direct,4,24954,false
2024-11-08,phone,2,11040,false
2024-11-08,booking_com,88,528000,false
2024-11-08,agoda,45,270000,false
2024-11-08,expedia,27,162000,false
2024-11-09,direct,4,24672,false
2024-11-09,direct,1,5960,false
2024-11-09,direct,2,12212,false
2024-11-09,direct,4,24070,false
2024-11-09,direct,4,22803,false
2024-11-09,direct,2,12027,false
2024-11-09,direct,2,11524,false
2024-11-10,direct,3,18832,false
2024-11-10,direct,2,12194,false
2024-11-10,direct,3,17668,false
2024-11-10,direct,3,17858,false
2024-11-10,direct,2,12057,false
2024-11-10,direct,3,18571,false
2024-11-10,direct,3,18005,false
2024-11-10,booking_com,88,528000,false
2024-11-10,agoda,45,270000,false
2024-11-10,expedia,27,162000,false
2024-11-11,direct,3,18384,false
2024-11-11,direct,1,6098,false
