date,channel_group,sessions,conversions,revenue_bdt
2024-10-01,organic_search,24,0.48,2880
2024-10-01,direct,10,0.29,1728
2024-10-01,referral,7,0.1,576
2024-10-02,organic_search,32,0.64,3840
2024-10-02,direct,14,0.38,2304
2024-10-02,referral,9,0.13,768
2024-10-03,organic_search,24,0.48,2880
2024-10-03,direct,10,0.29,1728
2024-10-03,referral,7,0.1,576
2024-10-04,organic_search,21,0.42,2520
2024-10-04,direct,9,0.25,1512
2024-10-04,referral,6,0.08,504
2024-10-05,organic_search,28,0.56,3360
2024-10-05,direct,12,0.34,2016
2024-10-05,referral,8,0.11,672
2024-10-06,organic_search,26,0.52,3120
2024-10-06,direct,11,0.31,1872
2024-10-06,referral,7,0.1,624
2024-10-07,organic_search,30,0.6,3600
2024-10-07,direct,13,0.36,2160
2024-10-07,referral,9,0.12,720
2024-10-08,organic_search,21,0.42,2520
2024-10-08,direct,9,0.25,1512
2024-10-08,referral,6,0.08,504
2024-10-09,organic_search,20,0.4,2400
2024-10-09,direct,9,0.24,1440
2024-10-09,referral,6,0.08,480
2024-10-10,organic_search,30,0.6,3600
2024-10-10,direct,13,0.36,2160
2024-10-10,referral,9,0.12,720
2024-10-11,organic_search,21,0.42,2520
2024-10-11,direct,9,0.25,1512
2024-10-11,referral,6,0.08,504
2024-10-12,organic_search,30,0.6,3600
2024-10-12,direct,13,0.36,2160
2024-10-12,referral,9,0.12,720
2024-10-13,organic_search,24,0.48,2880
2024-10-13,direct,10,0.29,1728
2024-10-13,referral,7,0.1,576
2024-10-14,organic_search,26,0.52,3120
2024-10-14,direct,11,0.31,1872
2024-10-14,referral,7,0.1,624
2024-10-15,organic_search,25,0.5,3000
2024-10-15,direct,11,0.3,1800
2024-10-15,referral,7,0.1,600
2024-10-16,organic_search,22,0.44,2640
2024-10-16,direct,9,0.26,1584
2024-10-16,referral,6,0.09,528
2024-10-17,organic_search,25,0.5,3000
2024-10-17,direct,11,0.3,1800
2024-10-17,referral,7,0.1,600
2024-10-18,organic_search,23,0.46,2760
2024-10-18,direct,10,0.28,1656
2024-10-18,referral,6,0.09,552
2024-10-19,organic_search,21,0.42,2520
2024-10-19,direct,9,0.25,1512
2024-10-19,referral,6,0.08,504
2024-10-20,organic_search,27,0.54,3240
2024-10-20,direct,12,0.32,1944
2024-10-20,referral,8,0.11,648
2024-10-21,organic_search,23,0.46,2760
2024-10-21,direct,10,0.28,1656
2024-10-21,referral,6,0.09,552
2024-10-22,organic_search,29,0.58,3480
2024-10-22,direct,13,0.35,2088
2024-10-22,referral,8,0.12,696
2024-10-23,organic_search,31,0.62,3720
2024-10-23,direct,13,0.37,2232
2024-10-23,referral,9,0.12,744
2024-10-24,organic_search,20,0.4,2400
2024-10-24,direct,9,0.24,1440
2024-10-24,referral,6,0.08,480
2024-10-25,organic_search,24,0.48,2880
2024-10-25,direct,10,0.29,1728
2024-10-25,referral,7,0.1,576
2024-10-26,organic_search,32,0.64,3840
2024-10-26,direct,14,0.38,2304
2024-10-26,referral,9,0.13,768
2024-10-27,organic_search,21,0.42,2520
2024-10-27,direct,9,0.25,1512
2024-10-27,referral,6,0.08,504
2024-10-28,organic_search,20,0.4,2400
2024-10-28,direct,9,0.24,1440
2024-10-28,referral,6,0.08,480
2024-10-29,organic_search,22,0.44,2640
2024-10-29,direct,9,0.26,1584
2024-10-29,referral,6,0.09,528
2024-10-30,organic_search,27,0.54,3240
2024-10-30,direct,12,0.32,1944
2024-10-30,referral,8,0.11,648
2024-10-31,organic_search,27,0.54,3240
2024-10-31,direct,12,0.32,1944
2024-10-31,referral,8,0.11,648
2024-11-01,organic_search,29,0.58,3480
2024-11-01,direct,13,0.35,2088
2024-11-01,referral,8,0.12,696
2024-11-02,organic_search,38,0.76,4560
2024-11-02,direct,17,0.46,2736
2024-11-02,referral,11,0.15,912
2024-11-03,organic_search,23,0.46,2760
2024-11-03,direct,10,0.28,1656
2024-11-03,referral,6,0.09,552
2024-11-04,organic_search,39,0.78,4680
2024-11-04,direct,17,0.47,2808
2024-11-04,referral,11,0.16,936
2024-11-05,organic_search,36,0.72,4320
2024-11-05,direct,16,0.43,2592
2024-11-05,referral,10,0.14,864
2024-11-06,organic_search,37,0.74,4440
2024-11-06,direct,16,0.44,2664
2024-11-06,referral,11,0.15,888
2024-11-07,organic_search,32,0.64,3840
2024-11-07,direct,14,0.38,2304
2024-11-07,referral,9,0.13,768
2024-11-08,organic_search,37,0.74,4440
2024-11-08,direct,16,0.44,2664
2024-11-08,referral,11,0.15,888
2024-11-09,organic_search,40,0.8,4800
2024-11-09,direct,18,0.48,2880
2024-11-09,referral,12,0.16,960
2024-11-10,organic_search,27,0.54,3240
2024-11-10,direct,12,0.32,1944
2024-11-10,referral,8,0.11,648
2024-11-11,organic_search,25,0.5,3000
2024-11-11,direct,11,0.3,1800
2024-11-11,referral,7,0.1,600
2024-11-12,organic_search,28,0.56,3360
2024-11-12,direct,12,0.34,2016
2024-11-12,referral,8,0.11,672
2024-11-13,organic_search,39,0.78,4680
2024-11-13,direct,17,0.47,2808
2024-11-13,referral,11,0.16,936
2024-11-14,organic_search,36,0.72,4320
2024-11-14,direct,16,0.43,2592
2024-11-14,referral,10,0.14,864
2024-11-15,organic_search,24,0.48,2880
2024-11-15,direct,10,0.29,1728
2024-11-15,referral,7,0.1,576
2024-11-16,organic_search,39,0.78,4680
2024-11-16,direct,17,0.47,2808
2024-11-16,referral,11,0.16,936
2024-11-17,organic_search,37,0.74,4440
2024-11-17,direct,16,0.44,2664
2024-11-17,referral,11,0.15,888
2024-11-18,organic_search,26,0.52,3120
2024-11-18,direct,11,0.31,1872
2024-11-18,referral,7,0.1,624
2024-11-19,organic_search,29,0.58,3480
2024-11-19,direct,13,0.35,2088
2024-11-19,referral,8,0.12,696
2024-11-20,organic_search,27,0.54,3240
2024-11-20,direct,12,0.32,1944
2024-11-20,referral,8,0.11,648
2024-11-21,organic_search,35,0.7,4200
2024-11-21,direct,15,0.42,2520
2024-11-21,referral,10,0.14,840
2024-11-22,organic_search,24,0.48,2880
2024-11-22,direct,10,0.29,1728
2024-11-22,referral,7,0.1,576
2024-11-23,organic_search,28,0.56,3360
2024-11-23,direct,12,0.34,2016
2024-11-23,referral,8,0.11,672
2024-11-24,organic_search,36,0.72,4320
2024-11-24,direct,16,0.43,2592
2024-11-24,referral,10,0.14,864
2024-11-25,organic_search,27,0.54,3240
2024-11-25,direct,12,0.32,1944
2024-11-25,referral,8,0.11,648
2024-11-26,organic_search,24,0.48,2880
2024-11-26,direct,10,0.29,1728
2024-11-26,referral,7,0.1,576
2024-11-27,organic_search,30,0.6,3600
2024-11-27,direct,13,0.36,2160
2024-11-27,referral,9,0.12,720
2024-11-28,organic_search,38,0.76,4560
2024-11-28,direct,17,0.46,2736
2024-11-28,referral,11,0.15,912
2024-11-29,organic_search,32,0.64,3840
2024-11-29,direct,14,0.38,2304
2024-11-29,referral,9,0.13,768
2024-11-30,organic_search,39,0.78,4680
2024-11-30,direct,17,0.47,2808
2024-11-30,referral,11,0.16,936
2024-12-01,organic_search,35,0.7,4200
2024-12-01,direct,15,0.42,2520
2024-12-01,referral,10,0.14,840
2024-12-02,organic_search,28,0.56,3360
2024-12-02,direct,12,0.34,2016
2024-12-02,referral,8,0.11,672
2024-12-03,organic_search,40,0.8,4800
2024-12-03,direct,18,0.48,2880
2024-12-03,referral,12,0.16,960
2024-12-04,organic_search,27,0.54,3240
2024-12-04,direct,12,0.32,1944
2024-12-04,referral,8,0.11,648
2024-12-05,organic_search,29,0.58,3480
2024-12-05,direct,13,0.35,2088
2024-12-05,referral,8,0.12,696
2024-12-06,organic_search,40,0.8,4800
2024-12-06,direct,18,0.48,2880
2024-12-06,referral,12,0.16,960
2024-12-07,organic_search,35,0.7,4200
2024-12-07,direct,15,0.42,2520
2024-12-07,referral,10,0.14,840
2024-12-08,organic_search,32,0.64,3840
2024-12-08,direct,14,0.38,2304
2024-12-08,referral,9,0.13,768
2024-12-09,organic_search,37,0.74,4440
2024-12-09,direct,16,0.44,2664
2024-12-09,referral,11,0.15,888
2024-12-10,organic_search,29,0.58,3480
2024-12-10,direct,13,0.35,2088
2024-12-10,referral,8,0.12,696
2024-12-11,organic_search,32,0.64,3840
2024-12-11,direct,14,0.38,2304
2024-12-11,referral,9,0.13,768
2024-12-12,organic_search,28,0.56,3360
2024-12-12,direct,12,0.34,2016
2024-12-12,referral,8,0.11,672
2024-12-13,organic_search,38,0.76,4560
2024-12-13,direct,17,0.46,2736
2024-12-13,referral,11,0.15,912
2024-12-14,organic_search,33,0.66,3960
2024-12-14,direct,14,0.4,2376
2024-12-14,referral,9,0.13,792
2024-12-15,organic_search,45,0.9,5400
2024-12-15,direct,20,0.54,3240
2024-12-15,referral,13,0.18,1080
2024-12-16,organic_search,34,0.68,4080
2024-12-16,direct,15,0.41,2448
2024-12-16,referral,10,0.14,816
2024-12-17,organic_search,31,0.62,3720
2024-12-17,direct,13,0.37,2232
2024-12-17,referral,9,0.12,744
2024-12-18,organic_search,40,0.8,4800
2024-12-18,direct,18,0.48,2880
2024-12-18,referral,12,0.16,960
2024-12-19,organic_search,42,0.84,5040
2024-12-19,direct,18,0.5,3024
2024-12-19,referral,12,0.17,1008
2024-12-20,organic_search,42,0.84,5040
2024-12-20,direct,18,0.5,3024
2024-12-20,referral,12,0.17,1008
2024-12-21,organic_search,38,0.76,4560
2024-12-21,direct,17,0.46,2736
2024-12-21,referral,11,0.15,912
2024-12-22,organic_search,33,0.66,3960
2024-12-22,direct,14,0.4,2376
2024-12-22,referral,9,0.13,792
2024-12-23,organic_search,31,0.62,3720
2024-12-23,direct,13,0.37,2232
2024-12-23,referral,9,0.12,744
2024-12-24,organic_search,35,0.7,4200
2024-12-24,direct,15,0.42,2520
2024-12-24,referral,10,0.14,840
2024-12-25,organic_search,40,0.8,4800
2024-12-25,direct,18,0.48,2880
2024-12-25,referral,12,0.16,960
2024-12-26,organic_search,36,0.72,4320
2024-12-26,direct,16,0.43,2592
2024-12-26,referral,10,0.14,864
2024-12-27,organic_search,45,0.9,5400
2024-12-27,direct,20,0.54,3240
2024-12-27,referral,13,0.18,1080
2024-12-28,organic_search,27,0.54,3240
2024-12-28,direct,12,0.32,1944
2024-12-28,referral,8,0.11,648
2024-12-29,organic_search,29,0.58,3480
2024-12-29,direct,13,0.35,2088
2024-12-29,referral,8,0.12,696
2024-12-30,organic_search,33,0.66,3960
2024-12-30,direct,14,0.4,2376
2024-12-30,referral,9,0.13,792
2024-12-31,organic_search,27,0.54,3240
2024-12-31,direct,12,0.32,1944
2024-12-31,referral,8,0.11,648
2025-01-01,organic_search,39,0.78,4680
2025-01-01,direct,17,0.47,2808
2025-01-01,referral,11,0.16,936
2025-01-02,organic_search,44,0.88,5280
2025-01-02,direct,19,0.53,3168
2025-01-02,referral,13,0.18,1056
2025-01-03,organic_search,40,0.8,4800
2025-01-03,direct,18,0.48,2880
2025-01-03,referral,12,0.16,960
2025-01-04,organic_search,37,0.74,4440
2025-01-04,direct,16,0.44,2664
2025-01-04,referral,11,0.15,888
2025-01-05,organic_search,41,0.82,4920
2025-01-05,direct,18,0.49,2952
2025-01-05,referral,12,0.16,984
2025-01-06,organic_search,28,0.56,3360
2025-01-06,direct,12,0.34,2016
