date,query_class,clicks,impressions,avg_position
2024-10-01,brand,7,144,1.5
2024-10-01,non_brand,5,264,11.1
2024-10-02,brand,9,192,1.3
2024-10-02,non_brand,7,352,15.2
2024-10-03,brand,7,144,1.5
2024-10-03,non_brand,5,264,13.6
2024-10-04,brand,6,126,1.2
2024-10-04,non_brand,4,231,9.0
2024-10-05,brand,8,168,1.5
2024-10-05,non_brand,6,308,14.6
2024-10-06,brand,7,156,1.5
2024-10-06,non_brand,5,286,15.0
2024-10-07,brand,9,180,1.4
2024-10-07,non_brand,6,330,8.2
2024-10-08,brand,6,126,1.3
2024-10-08,non_brand,4,231,8.7
2024-10-09,brand,6,120,1.5
2024-10-09,non_brand,4,220,9.4
2024-10-10,brand,9,180,1.3
2024-10-10,non_brand,6,330,12.4
2024-10-11,brand,6,126,1.6
2024-10-11,non_brand,4,231,10.4
2024-10-12,brand,9,180,1.3
2024-10-12,non_brand,6,330,13.2
2024-10-13,brand,7,144,1.3
2024-10-13,non_brand,5,264,9.7
2024-10-14,brand,7,156,1.5
2024-10-14,non_brand,5,286,11.8
2024-10-15,brand,7,150,1.1
2024-10-15,non_brand,5,275,12.2
2024-10-16,brand,6,132,1.5
2024-10-16,non_brand,4,242,14.1
2024-10-17,brand,7,150,1.5
2024-10-17,non_brand,5,275,12.6
2024-10-18,brand,6,138,1.1
2024-10-18,non_brand,5,253,12.6
2024-10-19,brand,6,126,1.1
2024-10-19,non_brand,4,231,9.0
2024-10-20,brand,8,162,1.6
2024-10-20,non_brand,5,297,11.9
2024-10-21,brand,6,138,1.5
2024-10-21,non_brand,5,253,12.9
2024-10-22,brand,8,174,1.1
2024-10-22,non_brand,6,319,13.0
2024-10-23,brand,9,186,1.2
2024-10-23,non_brand,6,341,9.4
2024-10-24,brand,6,120,1.2
2024-10-24,non_brand,4,220,13.8
2024-10-25,brand,7,144,1.2
2024-10-25,non_brand,5,264,11.9
2024-10-26,brand,9,192,1.4
2024-10-26,non_brand,7,352,9.2
2024-10-27,brand,6,126,1.6
2024-10-27,non_brand,4,231,8.1
2024-10-28,brand,6,120,1.3
2024-10-28,non_brand,4,220,12.5
2024-10-29,brand,6,132,1.4
2024-10-29,non_brand,4,242,13.5
2024-10-30,brand,8,162,1.2
2024-10-30,non_brand,5,297,12.9
2024-10-31,brand,8,162,1.5
2024-10-31,non_brand,5,297,9.5
2024-11-01,brand,8,174,1.4
2024-11-01,non_brand,6,319,16.0
2024-11-02,brand,11,228,1.5
