month,ota,room_nights,gross_bdt,commission_bdt
2024-10,booking_com,698,4191000,754380
2024-10,agoda,355,2133600,384048
2024-10,expedia,215,1295400,233172
2024-11,booking_com,1324,7946400,1430352
2024-11,agoda,674,4045440,728179
2024-11,expedia,409,2456160,442109
2024-12,booking_com,1395,8375400,1507572
2024-12,agoda,710,4263840,767491
2024-12,expedia,431,2588760,465977
2025-01,booking_com,1272,7636200,1374516
2025-01,agoda,647,3887520,699754
2025-01,expedia,393,2360280,424850
2025-02,booking_com,1117,6705600,1207008
2025-02,agoda,568,3413760,614477
2025-02,expedia,345,2072640,373075
2025-03,booking_com,832,4996200,899316
2025-03,agoda,423,2543520,457834
2025-03,expedia,257,1544280,277970
2025-04,booking_com,570,3422100,615978
2025-04,agoda,290,1742160,313589
2025-04,expedia,176,1057740,190393
2025-05,booking_com,282,1692900,304722
2025-05,agoda,143,861840,155131
2025-05,expedia,87,523260,94187
2025-06,booking_com,172,1032900,185922
2025-06,agoda,87,525840,94651
2025-06,expedia,53,319260,57467
2025-07,booking_com,155,933900,168102
2025-07,agoda,79,475440,85579
2025-07,expedia,48,288660,51959
2025-08,booking_com,188,1131900,203742
2025-08,agoda,96,576240,103723
2025-08,expedia,58,349860,62975
2025-09,booking_com,303,1821600,327888
2025-09,agoda,154,927360,166925
2025-09,expedia,93,563040,101347
2025-10,booking_com,629,3778500,680130
2025-10,agoda,320,1923600,346248
2025-10,expedia,194,1167900,210222
2025-11,booking_com,1232,7395300,1331154
2025-11,agoda,627,3764880,677678
2025-11,expedia,380,2285820,411448
2025-12,booking_com,1348,8088300,1455894
2025-12,agoda,686,4117680,741182
2025-12,expedia,416,2500020,450004
