date,channel,room_nights,revenue_bdt,campaign_attributed
2024-10-01,direct,4,42480,false
2024-10-01,direct,3,32914,false
2024-10-02,direct,4,43233,false
2024-10-02,direct,3,33591,false
2024-10-02,booking_com,31,341000,false
2024-10-02,agoda,16,176000,false
2024-10-02,expedia,9,99000,false
2024-10-03,direct,5,57474,false
2024-10-03,direct,5,55467,false
2024-10-04,direct,4,43840,false
2024-10-04,direct,5,56155,false
2024-10-04,phone,2,20240,false
2024-10-04,booking_com,31,341000,false
2024-10-04,agoda,16,176000,false
2024-10-04,expedia,9,99000,false
2024-10-05,direct,3,33009,false
2024-10-05,direct,3,32595,false
2024-10-06,direct,5,56758,false
2024-10-06,direct,3,32373,false
2024-10-06,booking_com,31,341000,false
2024-10-06,agoda,16,176000,false
2024-10-06,expedia,9,99000,false
2024-10-07,direct,5,57687,false
2024-10-07,direct,2,22085,false
2024-10-08,direct,4,43883,false
2024-10-08,direct,2,21311,false
2024-10-08,phone,2,20240,false
2024-10-08,booking_com,31,341000,false
2024-10-08,agoda,16,176000,false
2024-10-08,expedia,9,99000,false
2024-10-09,direct,5,55657,false
2024-10-09,direct,3,31900,false
2024-10-10,direct,4,45911,false
2024-10-10,direct,3,33029,false
2024-10-10,booking_com,31,341000,false
2024-10-10,agoda,16,176000,false
2024-10-10,expedia,9,99000,false
2024-10-11,direct,5,55313,false
2024-10-11,direct,2,21706,false
2024-10-12,direct,4,42310,false
2024-10-12,direct,3,34193,false
2024-10-12,phone,2,20240,false
2024-10-12,booking_com,31,341000,false
2024-10-12,agoda,16,176000,false
2024-10-12,expedia,9,99000,false
2024-10-13,direct,4,44134,false
2024-10-13,direct,3,33236,false
2024-10-14,direct,4,45798,false
2024-10-14,direct,5,55433,false
2024-10-14,booking_com,31,341000,false
2024-10-14,agoda,16,176000,false
2024-10-14,expedia,9,99000,false
2024-10-15,direct,3,31367,false
2024-10-15,direct,2,21386,false
2024-10-16,direct,4,44603,false
2024-10-16,direct,5,54282,false
2024-10-16,phone,2,20240,false
2024-10-16,booking_com,31,341000,false
2024-10-16,agoda,16,176000,false
2024-10-16,expedia,9,99000,false
2024-10-17,direct,4,45268,false
2024-10-17,direct,4,44929,false
2024-10-18,direct,5,54250,false
2024-10-18,direct,2,21703,false
2024-10-18,booking_com,31,341000,false
2024-10-18,agoda,16,176000,false
2024-10-18,expedia,9,99000,false
2024-10-19,direct,2,22452,false
2024-10-19,direct,4,41813,false
2024-10-20,direct,4,45715,false
2024-10-20,direct,4,45930,false
2024-10-20,phone,2,20240,false
2024-10-20,booking_com,31,341000,false
2024-10-20,agoda,16,176000,false
2024-10-20,expedia,9,99000,false
2024-10-21,direct,3,33621,false
2024-10-21,direct,3,33219,false
2024-10-22,direct,4,43645,false
