date,channel_group,sessions,conversions,revenue_bdt
2024-10-01,organic_search,22,0.44,4840
2024-10-01,direct,9,0.26,2904
2024-10-01,referral,6,0.09,968
2024-10-02,organic_search,26,0.52,5720
2024-10-02,direct,11,0.31,3432
2024-10-02,referral,7,0.1,1144
2024-10-03,organic_search,21,0.42,4620
2024-10-03,direct,9,0.25,2772
2024-10-03,referral,6,0.08,924
2024-10-04,organic_search,30,0.6,6600
2024-10-04,direct,13,0.36,3960
2024-10-04,referral,9,0.12,1320
2024-10-05,organic_search,30,0.6,6600
2024-10-05,direct,13,0.36,3960
2024-10-05,referral,9,0.12,1320
2024-10-06,organic_search,24,0.48,5280
2024-10-06,direct,10,0.29,3168
2024-10-06,referral,7,0.1,1056
2024-10-07,organic_search,20,0.4,4400
2024-10-07,direct,9,0.24,2640
2024-10-07,referral,6,0.08,880
2024-10-08,organic_search,31,0.62,6820
2024-10-08,direct,13,0.37,4092
2024-10-08,referral,9,0.12,1364
2024-10-09,organic_search,25,0.5,5500
2024-10-09,direct,11,0.3,3300
2024-10-09,referral,7,0.1,1100
2024-10-10,organic_search,27,0.54,5940
2024-10-10,direct,12,0.32,3564
2024-10-10,referral,8,0.11,1188
2024-10-11,organic_search,19,0.38,4180
2024-10-11,direct,8,0.23,2508
2024-10-11,referral,5,0.08,836
2024-10-12,organic_search,29,0.58,6380
2024-10-12,direct,13,0.35,3828
2024-10-12,referral,8,0.12,1276
2024-10-13,organic_search,23,0.46,5060
2024-10-13,direct,10,0.28,3036
2024-10-13,referral,6,0.09,1012
2024-10-14,organic_search,28,0.56,6160
2024-10-14,direct,12,0.34,3696
2024-10-14,referral,8,0.11,1232
2024-10-15,organic_search,28,0.56,6160
2024-10-15,direct,12,0.34,3696
2024-10-15,referral,8,0.11,1232
2024-10-16,organic_search,28,0.56,6160
2024-10-16,direct,12,0.34,3696
2024-10-16,referral,8,0.11,1232
2024-10-17,organic_search,25,0.5,5500
2024-10-17,direct,11,0.3,3300
2024-10-17,referral,7,0.1,1100
2024-10-18,organic_search,23,0.46,5060
2024-10-18,direct,10,0.28,3036
2024-10-18,referral,6,0.09,1012
2024-10-19,organic_search,29,0.58,6380
2024-10-19,direct,13,0.35,3828
2024-10-19,referral,8,0.12,1276
2024-10-20,organic_search,19,0.38,4180
2024-10-20,direct,8,0.23,2508
2024-10-20,referral,5,0.08,836
2024-10-21,organic_search,24,0.48,5280
2024-10-21,direct,10,0.29,3168
2024-10-21,referral,7,0.1,1056
2024-10-22,organic_search,23,0.46,5060
2024-10-22,direct,10,0.28,3036
2024-10-22,referral,6,0.09,1012
2024-10-23,organic_search,30,0.6,6600
2024-10-23,direct,13,0.36,3960
2024-10-23,referral,9,0.12,1320
2024-10-24,organic_search,30,0.6,6600
2024-10-24,direct,13,0.36,3960
2024-10-24,referral,9,0.12,1320
2024-10-25,organic_search,27,0.54,5940
2024-10-25,direct,12,0.32,3564
2024-10-25,referral,8,0.11,1188
2024-10-26,organic_search,27,0.54,5940
2024-10-26,direct,12,0.32,3564
2024-10-26,referral,8,0.11,1188
2024-10-27,organic_search,20,0.4,4400
2024-10-27,direct,9,0.24,2640
2024-10-27,referral,6,0.08,880
2024-10-28,organic_search,21,0.42,4620
2024-10-28,direct,9,0.25,2772
2024-10-28,referral,6,0.08,924
2024-10-29,organic_search,20,0.4,4400
2024-10-29,direct,9,0.24,2640
2024-10-29,referral,6,0.08,880
2024-10-30,organic_search,24,0.48,5280
2024-10-30,direct,10,0.29,3168
2024-10-30,referral,7,0.1,1056
2024-10-31,organic_search,21,0.42,4620
2024-10-31,direct,9,0.25,2772
2024-10-31,referral,6,0.08,924
2024-11-01,organic_search,38,0.76,8360
2024-11-01,direct,17,0.46,5016
2024-11-01,referral,11,0.15,1672
2024-11-02,organic_search,40,0.8,8800
2024-11-02,direct,18,0.48,5280
2024-11-02,referral,12,0.16,1760
2024-11-03,organic_search,29,0.58,6380
2024-11-03,direct,13,0.35,3828
2024-11-03,referral,8,0.12,1276
2024-11-04,organic_search,29,0.58,6380
2024-11-04,direct,13,0.35,3828
2024-11-04,referral,8,0.12,1276
2024-11-05,organic_search,36,0.72,7920
2024-11-05,direct,16,0.43,4752
2024-11-05,referral,10,0.14,1584
2024-11-06,organic_search,33,0.66,7260
2024-11-06,direct,14,0.4,4356
2024-11-06,referral,9,0.13,1452
2024-11-07,organic_search,37,0.74,8140
2024-11-07,direct,16,0.44,4884
2024-11-07,referral,11,0.15,1628
2024-11-08,organic_search,27,0.54,5940
2024-11-08,direct,12,0.32,3564
2024-11-08,referral,8,0.11,1188
2024-11-09,organic_search,30,0.6,6600
2024-11-09,direct,13,0.36,3960
2024-11-09,referral,9,0.12,1320
2024-11-10,organic_search,24,0.48,5280
2024-11-10,direct,10,0.29,3168
2024-11-10,referral,7,0.1,1056
2024-11-11,organic_search,29,0.58,6380
2024-11-11,direct,13,0.35,3828
2024-11-11,referral,8,0.12,1276
2024-11-12,organic_search,32,0.64,7040
2024-11-12,direct,14,0.38,4224
2024-11-12,referral,9,0.13,1408
2024-11-13,organic_search,37,0.74,8140
2024-11-13,direct,16,0.44,4884
2024-11-13,referral,11,0.15,1628
2024-11-14,organic_search,38,0.76,8360
2024-11-14,direct,17,0.46,5016
2024-11-14,referral,11,0.15,1672
2024-11-15,organic_search,25,0.5,5500
2024-11-15,direct,11,0.3,3300
2024-11-15,referral,7,0.1,1100
2024-11-16,organic_search,39,0.78,8580
2024-11-16,direct,17,0.47,5148
2024-11-16,referral,11,0.16,1716
2024-11-17,organic_search,33,0.66,7260
2024-11-17,direct,14,0.4,4356
2024-11-17,referral,9,0.13,1452
2024-11-18,organic_search,39,0.78,8580
2024-11-18,direct,17,0.47,5148
2024-11-18,referral,11,0.16,1716
2024-11-19,organic_search,25,0.5,5500
2024-11-19,direct,11,0.3,3300
2024-11-19,referral,7,0.1,1100
2024-11-20,organic_search,29,0.58,6380
2024-11-20,direct,13,0.35,3828
2024-11-20,referral,8,0.12,1276
2024-11-21,organic_search,39,0.78,8580
2024-11-21,direct,17,0.47,5148
2024-11-21,referral,11,0.16,1716
2024-11-22,organic_search,26,0.52,5720
2024-11-22,direct,11,0.31,3432
2024-11-22,referral,7,0.1,1144
2024-11-23,organic_search,32,0.64,7040
