name,city,segment,rooms,adr_bdt,occupancy,ota_share,effective_ota_commission,direct_share,adr_basis,rooms_status,assumed_fields,source_id,notes
"Hotel Sarina","Banani","5-star independent business",86,18900,0.52,0.45,0.18,,listed,published,"occupancy;ota_share;commission;direct_share","S5;S6","86 rooms; Booking listing $153.60/night; 413 KAYAK reviews — visible OTA dependence in the upscale tier"
"Six Seasons Hotel","Gulshan-2","5-star independent business",90,19300,0.52,0.45,0.18,,listed,published,"occupancy;ota_share;commission;direct_share","S5;S6","90 rooms; Booking listing $157–179/night; 326 KAYAK reviews"
"Dhaka Regency Hotel & Resort","Nikunja (Airport Rd)","4-star independent conference",221,8400,0.52,0.50,0.17,,listed,published,"occupancy;ota_share;commission;direct_share","S2;S7","221 rooms and 6 banquet venues on the airport corridor — larger than the target band; included as a size test"
"Best Western Plus Maple Leaf","Uttara","4-star franchise-affiliated",50,8600,0.52,0.50,0.17,,listed,published,"occupancy;ota_share;commission;direct_share","S2;S3;S7","50 rooms; franchise-affiliated but independently owned — pays brand fees AND OTA commission"
"Golden Tulip The Grandmark","Banani","4-star business",68,6400,0.52,0.50,0.17,,class_avg,disputed,"occupancy;ota_share;commission;direct_share;adr","S2;S5","Room count disputed: 68 (trade listing) vs 29 (directory). Rate is a class average, not a live listing. Verify both on first contact"
"Space Hotel And Apartments","Gulshan-2","4-star serviced apartments",32,17200,0.52,0.50,0.17,,listed,published,"occupancy;ota_share;commission;direct_share","S3","32 rooms at the highest listed rate in the screenable set ($140) — small room count, high rate"
"After Hours Residence","Dhaka","4-star residence",40,6400,0.52,0.50,0.17,,class_avg,published,"occupancy;ota_share;commission;direct_share;adr","S2","40 rooms; no live rate captured, so a class average is used and flagged"
"Innotel Baton Rouge (Innotel Luxury Business)","Banani","4-star business",42,4200,0.52,0.50,0.17,,listed,published,"occupancy;ota_share;commission;direct_share","S3;S7","42 rooms with meeting and banquet facilities; $34 listing — priced below its class"
"Hotel 71","Bijoynagar","3-star city business",56,3900,0.52,0.60,0.16,,listed,published,"occupancy;ota_share;commission;direct_share","S4;S7","56 rooms; 1,444 KAYAK reviews — the heaviest OTA review volume in the set"
"Grand Palace Hotel & Resort","Kakrail","3-star city business",82,5900,0.52,0.60,0.16,,listed,published,"occupancy;ota_share;commission;direct_share","S3;S6","82 rooms; Booking listing $48–57; central location near the Supreme Court"
"Central Inn Hotel & Spa","Toyenbee Circular Rd","3-star city business",36,5300,0.52,0.60,0.16,,listed,published,"occupancy;ota_share;commission;direct_share","S4;S6","36 rooms; Booking listing $43"
"Eastern House","Gulshan-1","3-star budget business",30,4600,0.52,0.60,0.16,,listed,published,"occupancy;ota_share;commission;direct_share","S3;S7","30 rooms; rated 8.8/10 from 82 reviews — small but well-reviewed, which is what drives OTA ranking"
"Grand Circle Inn","Outer Circular Rd","3-star city",27,3800,0.52,0.60,0.16,,class_avg,published,"occupancy;ota_share;commission;direct_share;adr","S4","27 rooms; no live rate captured"
"Hotel Air Inn","Uttara","3-star airport budget",38,3000,0.52,0.65,0.16,,listed,published,"occupancy;ota_share;commission;direct_share","S3;S4","38 rooms at $24 on the airport corridor — included to test whether the fee structure can clear at this ADR"
"Hotel Grand Amir International","Panthapath","2-star budget",21,3800,0.52,0.65,0.16,,class_avg,published,"occupancy;ota_share;commission;direct_share;adr","S4;S5","21 rooms — the floor of the set, included because a screener that never rejects small properties is not screening"
"Hotel New Kalabgan Residential","Dhaka","2-star budget",31,1800,0.52,0.65,0.16,,listed,published,"occupancy;ota_share;commission;direct_share","S5;S6","31 rooms; Booking listing $15/night — expected to screen out on arithmetic"
"Dhanmondi Lake View Hotel","Dhanmondi","2-star budget",30,1500,0.52,0.65,0.16,,listed,published,"occupancy;ota_share;commission;direct_share","S5;S7","30 rooms; roughly $10–12/night — expected to screen out on arithmetic"
"Jatra Hotel Grand Royal","Dhanmondi","3-star budget",24,4000,0.52,0.65,0.16,,listed,published,"occupancy;ota_share;commission;direct_share","S5;S7","24 rooms at ~£26/night"
