name,city,segment,rooms,adr_bdt,occupancy,ota_share,effective_ota_commission,total_room_nights,ota_room_nights,direct_room_nights,commission_bdt,saving_per_room_night_bdt,capturable_bdt,derived_direct_share,season_ratio,adr_basis,rooms_status,assumed_fields,source_id,recommendation,reasons,break_even_room_nights,required_lift,lift_pessimistic,lift_optimistic
Dhaka Regency Hotel & Resort,Nikunja (Airport Rd),4-star independent conference,221,8400,0.52,0.5,0.17,3498,1749,962,2497690,1050,367307,True,1.0,listed,published,occupancy;ota_share;commission;direct_share,S2;S7,CONFIRM DIRECT VOLUME FIRST,"would be a call on the pessimistic reading (11% lift, ৳367,307/month capturable) but their direct volume was estimated, not confirmed; these inputs are assumptions: occupancy, ota_share, commission, direct_share — confirm them and this becomes a call | effective commission is 17% — at the higher end, so the gap is worth ৳1,050 per shifted room-night | direct volume was estimated at 28% of room-nights (never stated); ask how many bookings arrive by phone and at the desk",65.7,0.068,0.105,0.046
Six Seasons Hotel,Gulshan-2,5-star independent business,90,19300,0.52,0.45,0.18,1425,641,431,2227065,2606,334060,True,1.0,listed,published,occupancy;ota_share;commission;direct_share,S5;S6,CONFIRM DIRECT VOLUME FIRST,"would be a call on the pessimistic reading (9% lift, ৳334,060/month capturable) but their direct volume was estimated, not confirmed; these inputs are assumptions: occupancy, ota_share, commission, direct_share — confirm them and this becomes a call | effective commission is 18% — at the higher end, so the gap is worth ৳2,606 per shifted room-night | direct volume was estimated at 30% of room-nights (never stated); ask how many bookings arrive by phone and at the desk",26.5,0.061,0.095,0.041
Hotel Sarina,Banani,5-star independent business,86,18900,0.52,0.45,0.18,1361,613,412,2083979,2552,312597,True,1.0,listed,published,occupancy;ota_share;commission;direct_share,S5;S6,CONFIRM DIRECT VOLUME FIRST,"would be a call on the pessimistic reading (10% lift, ৳312,597/month capturable) but their direct volume was estimated, not confirmed; these inputs are assumptions: occupancy, ota_share, commission, direct_share — confirm them and this becomes a call | effective commission is 18% — at the higher end, so the gap is worth ৳2,552 per shifted room-night | direct volume was estimated at 30% of room-nights (never stated); ask how many bookings arrive by phone and at the desk",27.0,0.066,0.101,0.044
Space Hotel And Apartments,Gulshan-2,4-star serviced apartments,32,17200,0.52,0.5,0.17,507,253,139,740535,2150,108902,True,1.0,listed,published,occupancy;ota_share;commission;direct_share,S3,CONFIRM DIRECT VOLUME FIRST,"verdict depends on the assumption: break-even needs 15% of direct volume if their direct channel is healthy, 35% if it is weak. One question on the call decides it — ask how many bookings arrive by phone or at the desk | effective commission is 17% — at the higher end, so the gap is worth ৳2,150 per shifted room-night | direct volume was estimated at 28% of room-nights (never stated); ask how many bookings arrive by phone and at the desk",32.1,0.23,0.354,0.154
Grand Palace Hotel & Resort,Kakrail,3-star city business,82,5900,0.52,0.6,0.16,1298,779,286,735165,678,105680,True,1.0,listed,published,occupancy;ota_share;commission;direct_share,S3;S6,CONFIRM DIRECT VOLUME FIRST,"verdict depends on the assumption: break-even needs 24% of direct volume if their direct channel is healthy, 55% if it is weak. One question on the call decides it — ask how many bookings arrive by phone or at the desk | direct volume was estimated at 22% of room-nights (never stated); ask how many bookings arrive by phone and at the desk",101.7,0.356,0.548,0.237
Golden Tulip The Grandmark,Banani,4-star business,68,6400,0.52,0.5,0.17,1076,538,296,585539,800,86109,True,1.0,class_avg,disputed,occupancy;ota_share;commission;direct_share;adr,S2;S5,CONFIRM DIRECT VOLUME FIRST,"verdict depends on the assumption: break-even needs 19% of direct volume if their direct channel is healthy, 45% if it is weak. One question on the call decides it — ask how many bookings arrive by phone or at the desk | effective commission is 17% — at the higher end, so the gap is worth ৳800 per shifted room-night | direct volume was estimated at 28% of room-nights (never stated); ask how many bookings arrive by phone and at the desk",86.2,0.291,0.448,0.194
Best Western Plus Maple Leaf,Uttara,4-star franchise-affiliated,50,8600,0.52,0.5,0.17,791,396,218,578543,1075,85080,True,1.0,listed,published,occupancy;ota_share;commission;direct_share,S2;S3;S7,CONFIRM DIRECT VOLUME FIRST,"verdict depends on the assumption: break-even needs 20% of direct volume if their direct channel is healthy, 45% if it is weak. One question on the call decides it — ask how many bookings arrive by phone or at the desk | effective commission is 17% — at the higher end, so the gap is worth ৳1,075 per shifted room-night | direct volume was estimated at 28% of room-nights (never stated); ask how many bookings arrive by phone and at the desk",64.2,0.295,0.454,0.197
After Hours Residence,Dhaka,4-star residence,40,6400,0.52,0.5,0.17,633,317,174,344435,800,50652,True,1.0,class_avg,published,occupancy;ota_share;commission;direct_share;adr,S2,CALL LATER,"needs a 33% lift on the best reading and 76% on the worst — too dependent on a favourable assumption to be worth a call this quarter | effective commission is 17% — at the higher end, so the gap is worth ৳800 per shifted room-night | direct volume was estimated at 28% of room-nights (never stated); ask how many bookings arrive by phone and at the desk",86.2,0.495,0.762,0.33
Hotel 71,Bijoynagar,3-star city business,56,3900,0.52,0.6,0.16,886,532,195,331873,448,47707,True,1.0,listed,published,occupancy;ota_share;commission;direct_share,S4;S7,CALL LATER,needs a 53% lift on the best reading and 121% on the worst — too dependent on a favourable assumption to be worth a call this quarter | direct volume was estimated at 22% of room-nights (never stated); ask how many bookings arrive by phone and at the desk,153.8,0.789,1.214,0.526
Innotel Baton Rouge (Innotel Luxury Business),Banani,4-star business,42,4200,0.52,0.5,0.17,665,332,183,237337,525,34903,True,1.0,listed,published,occupancy;ota_share;commission;direct_share,S3;S7,CALL LATER,"needs a 48% lift on the best reading and 111% on the worst — too dependent on a favourable assumption to be worth a call this quarter | effective commission is 17% — at the higher end, so the gap is worth ৳525 per shifted room-night | direct volume was estimated at 28% of room-nights (never stated); ask how many bookings arrive by phone and at the desk",131.4,0.719,1.106,0.479
